Facility Code,Facility Name,Type,Owner,Province,County,District,Division,Location,Sub Location,Constituency,Nearest Town,KEPH Level,Plot Number,Open 24 Hours,Open Weekends,Beds,Cots,Operational Status
18291,Ahero Medical Centre,Medical Clinic,Private Practice - Nurse / Midwife,Nyanza,Kisumu,Nyando,Nyando,Kakola,Kakola Ahero,NYANDO,Ahero,Level 2,,0,1,0,0,Operational
14191,Ahero Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Rift Valley,Nakuru,Nakuru North,Bahati,Bahati,Ahero,SUBUKIA,Mawanga,Level 2,,0,0,0,0,Operational
13468,Ahero Sub-District Hospital,Sub-District Hospital,Ministry of Health,Nyanza,Kisumu,Nyando,Nyando,Kakola,Kakola Ahero,NYANDO,Ahero,Level 4,,1,1,30,0,Operational
15791,Ahmadiya Hospital,Other Hospital,Other Faith Based,Western,Kakamega,Mumias,East Wanga,Lubinu,Lubinu,MUMIAS,Mumias,Level 4,,1,1,0,0,Operational
18671,Ahpia Disc 1 Nanyuki Transport,Medical Clinic,Non-Governmental Organizations,Rift Valley,Laikipia,Laikipia East,Central,Town,Town,LAIKIPIA EAST,Nanyuki  Town,Level 2,L R No. 278/328,0,0,0,0,Operational
12093,AIC Dispensary(Isiolo),Dispensary,Christian Health Association of Kenya,Eastern,Isiolo,Isiolo,Central,East,Wabera,ISIOLO NORTH,Isiolo,Level 2,,0,0,4,4,Operational
17431,AIC Kalamba Dispensary,Dispensary,Other Faith Based,Eastern,Makueni,Nzaui,Kalamba,Kalamba,Kalamba,MAKUENI,Kalamba,Level 2,0,1,1,0,0,Operational
14178,AIC Litein Mission Hospital,Other Hospital,Other Faith Based,Rift Valley,Kericho,Bureti,Bureti,Litein,Litein,BURET,Litein,Level 4,,1,1,160,8,Operational
17655,AIC Liten  VCT,VCT Centre (Stand-Alone),Christian Health Association of Kenya,Rift Valley,Kericho,Bureti,Bureti,Litein,Litein,BURET,Litein Town,Level 2,,0,0,0,0,Operational
12558,AIC Mukaa Dispensary,Dispensary,Christian Health Association of Kenya,Eastern,Makueni,Mukaa,Kilome,Mukaa,Mukaa,KILOME, Nunguni,Level 2,047 Kilome,1,1,12,4,Operational
18439,Aic parkview dispensary,Dispensary,Christian Health Association of Kenya,Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Kaptembwo,Rhonda,NAKURU TOWN,Kipanga market,Level 2,,0,1,3,1,Operational
16350,Ainabkoi (RCEA) Health Centre,Health Centre,Ministry of Health,Rift Valley,Uasin Gishu,Eldoret East,Ainapkoi,Ainabkoi,Ainabkoi West,ELDORET EAST,Eldoret,Level 2,,0,0,2,0,Operational
14192,Ainamoi Health Centre,Health Centre,Ministry of Health,Rift Valley,Kericho,Kericho,Ainamoi,Ainamoi,Ainamoi,AINAMOI,Kericho,Level 3,,1,1,24,3,Operational
11922,Air Port Medical Centre,Medical Clinic,Private Enterprise (Institution),Eastern,Machakos,Athi River,Athi River,Katani,Mlolongo,KATHIANI,Mlolongo,Level 2,,1,1,2,1,Operational
13469,Airport Dispensary (Kisumu),Dispensary,Local Authority,Nyanza,Kisumu,Kisumu East,Winam,East Kisumu,Kogony,KISUMU TOWN WEST,Kisumu,Level 2,,0,0,0,0,Operational
11204,Airport View Medical Clinic,Medical Clinic,Private Enterprise (Institution),Coast,Mombasa,Changamwe,Changamwe,Changamwe,Changamwe,CHANGAMWE,Mombasa,Level 2,,0,0,0,0,Operational
18038,Airstrip Medical clinic (Moyale),Medical Clinic,Other Public Institution,Eastern,Marsabit,Moyale,Central,Sessi,Sessi,SAKU,Moyale,Level 2,,0,1,0,0,Operational
14193,Aiyebo Dispensary,Dispensary,Ministry of Health,Rift Valley,Baringo,Baringo North,Kabartonjo,Saimo,Tirimionin,BARINGO NORTH,Kabartonjo,Level 2,,0,0,0,0,Operational
18398,Ajam VCT,VCT Centre (Stand-Alone),Non-Governmental Organizations,Rift Valley,Kajiado,Kajiado North,Ongata Rongai,Kiserian,Kiserian,KAJIADO NORTH,Kiserian,Level 2,,0,0,0,0,Operational
13272,Ajawa Health Centre,Health Centre,Ministry of Health,North Eastern,Wajir,Wajir North,Gurar,Ajawa,Ajawa,WAJIR NORTH,Ajawa,Level 3,,1,1,0,0,Operational
11923,Akachiu Health Centre,Health Centre,Ministry of Health,Eastern,Meru,Igembe South,Igembe S,Kanuni,Antuambui,IGEMBE,Kanuni Market,Level 3,,0,0,8,2,Operational
13470,Akado Dispensary ,Dispensary,Private Practice - Nurse / Midwife,Nyanza,Homa Bay,Mbita,Mbita,Gembe West,Mbita Township,MBITA,Mbita,Level 2,,0,0,2,0,Not-Operational
13471,Akala Health Centre,Health Centre,Ministry of Health,Nyanza,Siaya,Gem,Wagai,South West Gem,Ndori,GEM,Akala Market,Level 3,,1,1,0,0,Operational
17770,Akemo Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Coast,Mombasa,Likoni,Likoni,Likoni,,LIKONI,Mombasa,Level 2,,1,1,4,0,Operational
14194,Akemo Nursing Home,Maternity Home,Private Enterprise (Institution),Rift Valley,Narok,Trans Mara West - Dikirr,Kilgoris,Poroko,Poroko,KILGORIS,Nyangusu,Level 3,,1,1,78,60,Operational
18764,Akicha Medical Services,Medical Clinic,Private Practice - Clinical Officer,Rift Valley,Turkana,Turkana Central,Central,Kanamkemer,Nawoitorong,TURKANA CENTRAL,Lodwar,Level 2,,0,1,0,0,Operational
15792,Akichelesit Dispensary,Dispensary,Ministry of Health,Western,Busia,Teso North,Angurai,Kakapel,Kekalet,AMAGORO,Angurai,Level 2,,0,0,0,0,Operational
13462,Akidiva Clinic,Medical Clinic,Private Enterprise (Institution),Nyanza,Migori,Kuria West,Mabera ,Tagare,Mabera,KURIA,Mabera,Level 2,,0,0,1,0,Operational
18769,Al Amin Nursing Home,Health Centre,Private Practice - Clinical Officer,Nairobi,Nairobi,Kamukunji,Eastleigh North,Eastleigh North,Eastleigh North,KAMUKUNJI,Garissa Lodge,Level 3,,1,1,14,0,Operational
17185,Al -arbrar Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Rift Valley,Samburu,Samburu Central,Kirisia,Maralal,Maralal,SAMBURU WEST,Maralal,Level 2,,0,1,0,0,Operational
17628,Al Azhar medical clinic,Medical Clinic,Private Practice - Nurse / Midwife,Coast,Mombasa,Mvita,Island,Majengo,Guraya,MVITA,,Level 2,19/348/XVI,1,1,0,0,Operational
