,Service Point Name,District ,Province
101,Ahero Sub-District Hospital,Nyando,Nyanza
102,Muhoroni Sub-District Hospital,Nyando,Nyanza
103,Nyando District Hospital,Nyando,Nyanza
104,St. Joseph's - Nyabondo Mission Hospital,Nyando,Nyanza
105,St. Vincent de Paul Mission Health Centre,Nyando,Nyanza
106,Homa Hill  Health Centre,Rachuonyo - (Rachuoyo North),Nyanza
107,Kendu Adventist Hospital,Rachuonyo - (Rachuoyo North),Nyanza
108,Rachuonyo District Hospital,Rachuonyo - (Rachuoyo North),Nyanza
109,Madiany District Hospital - Rarienda,Rarieda,Nyanza
110,St Elizabeth Lwak Dispensary,Rarieda,Nyanza
111,Awendo Sub-District Hospital,Rongo,Nyanza
112,Rongo District Hospital,Rongo,Nyanza
113,Ambira Health Centre,Siaya,Nyanza
114,Matibabu Integrated,Siaya,Nyanza
115,Siaya District Hospital,Siaya,Nyanza
116,Yala Sub-District Hospital,Siaya,Nyanza
117,Mbita Sub-District Hospital,Suba,Nyanza
118,Suba District Hospital - Sindo Hospital,Suba,Nyanza
119,Kabarnet District Hospital - Baringo,Baringo,Rift Valley
120,Bomet District Hospital- Longisa DH,Bomet,Rift Valley
121,Tenwek (Mission) Hospital,Bomet,Rift Valley
122,Kapkatet District Hospital - Buret,Bureti,Rift Valley
123,Ampath Reference Lab - Eldoret,Eldoret East - Uasin Gishu,Rift Valley
124,Kajiado District Hospital,Kajiado South,Rift Valley
125,Kericho District Hospital,Kericho,Rift Valley
126,Laikipia Air Base Health Centre,Laikipia East,Rift Valley
127,Nanyuki District Hospital - Laikipia East,Laikipia East,Rift Valley
128,Molo District Hospital,Molo,Rift Valley
129,Gilgil Military Regional Hospital,Naivasha,Rift Valley
130,Naivasha District Hospital,Naivasha,Rift Valley
131,Naivasha Medical Clinic,Naivasha,Rift Valley
132,St. Mary's Hospital Elementaita (Naivasha),Naivasha,Rift Valley
133,Nakuru Provincial General Hospital (Rift Vally PGH),Nakuru Central,Rift Valley
134,Kapsabet District Hospital - Nandi Central,Nandi Central,Rift Valley
135,Samburu District Hospital - Maralal Hospital,Samburu Central,Rift Valley
136,Kilgoris District Hospital - Trans Mara,Trans Mara,Rift Valley
137,Kitale District Hospital - Trans Nzoia West,Trans Nzoia West,Rift Valley
138,Lodwar  District Hospital - Turkana Central,Turkana Central,Rift Valley
139,Kakuma Mission Hospital (Diocese of Lodwar),Turkana North,Rift Valley
140,Kimilili District Hospital - Bungoma North,Bungoma North,Western
141,Bungoma South District Hospital,Bungoma South,Western
142,Busia District Hospital,Busia,Western
143,Busia Reference Lab - Ampath,Busia,Western
144,Butere District Hospital,Butere,Western
145,Namasoli Health Centre,Butere,Western
146,Kakamega Provincial General Hospital,Kakamega Central (Lurambi),Western
147,St Elizabeth Hospital Mukumu,Kakamega East (Shinyalu),Western
148,Lumakanda District Hospital - Lugari,Lugari,Western
149,St. Mary's Mission Hospital - Mumias,Mumias,Western
150,Holy Family Nangina Mission Hospital,Samia,Western
151,Alupe Sub-District Hospital,Teso South,Western
152,Vihiga District Hospital,Vihiga,Western
153,KEMRI - Kenya Medical Research Institure (Faces) Clinic,Dagoretti,Nairobi
154,Nyambene District Hospital - Igembe,Igembe South,Eastern
155,Kiirua  Mission Dispensary,Imenti North,Eastern
156,Chuka District Hospital - Meru South,Meru South,Eastern
157,Migori District Hospital PMTCT,Migori,Nyanza
