COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
,,17532,Uhembo Dispensary,Dispensary,GoK,62311.00
,,14156,Ukwala Health Centre,Health Centre,GoK,472809.00
,,16791,Umala Dispensary,Dispensary,GoK,339006.00
,,17530,Umer Dispensary,Dispensary,GoK,175561.00
,,14159,Urenga Dispensary ,Dispensary,GoK,401223.00
,,14160,Uriri Dispensary ,Dispensary,GoK,199050.00
,,16792,Wagai Dispensary,Dispensary,GoK,421683.00
,RARIEDA,13461,Abidha Health Centre,Health Centre,GoK,459769.00
,,13497,Bar Aluru dispensary (Rarieda),Dispensary,GoK,269289.00
,,13644,Kagwa Health centre,Health Centre,GoK,459358.00
,,13725,Kunya Dispensary ,Dispensary,GoK,327339.00
,,17439,Lieta Dispensary (Rarieda),Dispensary,GoK,119219.00
,,13739,Lwak Mission Health Centre,Health Centre,KEC,1316250.00
,,13757,Mahaya Health Centre,Health Centre,GoK,431461.00
,,13771,Manyuanda Health Centre (Rarieda),Health Centre,GoK,435892.00
,,13780,Masala Dispensary ,Dispensary,GoK,306294.00
,,13815,Misori Dispensary ,Dispensary,GoK,518352.00
,,13837,Naya Dispensary ,Dispensary,GoK,499891.00
,,13845,Ndori Dispensary ,Dispensary,GoK,672279.00
,,13874,Nyagoko Dispensary ,Dispensary,GoK,409267.00
,,13987,Ong'ielo Dispensary ,Dispensary,GoK,658289.00
,,14013,Pap Kodero Health Centre,Health Centre,GoK,393513.00
,,14026,Rageng'ni Dispensary ,Dispensary,GoK,479214.00
,,17437,Rambugu Dispensary (Rarieda),Dispensary,GoK,283155.00
,,14068,Saradidi Dispensary,Dispensary,GoK,500917.00
,,14111,St Joseph's Obaga Dispensary ,Dispensary,GoK,254520.00
,,17438,Wagoro Dispensary (Rarieda),Dispensary,GoK,255587.00
KISUMU,KISUMU WEST,13484,Arito Langi Dispensary,Dispensary,GoK,622856.00
,,13487,Asat Beach Dispensary,Dispensary,GoK,402042.00
,,13498,Bar Korwa Dispensary,Dispensary,GoK,474812.00
,,13503,Bodi Health Centre,Health Centre,GoK,775985.00
,,17172,Kolenyo Dispensary,Dispensary,GoK,236606.00
,,13720,Korwenje Dispensary ,Dispensary,GoK,776026.00
,,17171,Kuoyo Kaila Dispensary,Dispensary,GoK,338829.00
,,18250,Langi Kawino Dispensary      ,Dispensary,GoK,141521.00
,,17174,Lwala Kadawa Dispensary,Dispensary,GoK,448026.00
,,13770,Manyuanda Health Centre,Health Centre,GoK,1192959.00
,,13848,Nduru Kadero Dispensary ,Dispensary,GoK,689801.00
,,17173,Onyinjo Dispensary,Dispensary,GoK,133194.00
,,13990,Opapla Dispensary,Dispensary,GoK,664122.00
,,18086,Oriang Alwala Dispensary,Dispensary,GoK,125154.00
,,18422,Oriang Kanyadwera Dispensary,Dispensary,GoK,129461.00
,,14040,Ratta Health Centre,Health Centre,GoK,737303.00
,,14046,Riat Dispensary,Dispensary,GoK,981580.00
,,14057,Rodi Dispensary ,Dispensary,GoK,696487.00
,,14094,Siriba Dispensary ,Dispensary,GoK,926161.00
,,17175,Sunga Dispensary,Dispensary,GoK,425711.00
,KISUMU EAST,13464,Administration Police Dispensary (Kisumu East),Dispensary,GoK,467130.00
,,13469,Airport Dispensary (Kisumu),Dispensary,MCK/GoK,723024.00
,,13524,Chiga Dispensary,Dispensary,MCK/GoK,380829.00
,,13579,GK Prisons Dispensary (Kibos),Dispensary,GoK,907718.00
,,13591,Got Nyabondo Dispensary ,Dispensary,MCK/GoK,424381.00
,,13609,Hongo Ogosa Dispensary ,Dispensary,GoK,622071.00
,,13647,Kajulu/Gita Dispensary ,Dispensary,MCK/GoK,459604.00
,,13654,Kanyagwal Dispensary ,Dispensary,GoK,493924.00
,,13689,Kibos Sugar Research Dispensary ,Dispensary,GoK,182788.00
,,17553,Kisumu International Airport ,Dispensary,GoK,75263.00
,,13709,Kodiaga Prison Health Centre,Health Centre,GoK,1658087.00
,,13722,Kowino Dispensary ,Dispensary,MCK/GoK,461210.00
,,13816,Miwani Dispensary ,Dispensary,GoK,276666.00
,,13887,Nyalenda Health Centre,Health Centre,MCK/GoK,831402.00
,,13890,Nyalunya Dispensary ,Dispensary,GoK,613190.00
,,13923,Nyangande Health centre,Health Centre,GoK,714644.00
,,13971,Ojola Dispensary ,Dispensary,MCK/GoK,486448.00
,,14012,Pand Pieri Community Health Centre ,Health Centre,KEC,1075454.00
,,14020,Rabuor Health Centre,Health Centre,GoK,1493061.00
,,14027,Railways Dispensary (Kisumu),Dispensary,GoK,575559.00
,,14060,Rota Dispensary ,Dispensary,GoK,706516.00
,,14070,Sayyid Ayisha Dispensary,Dispensary,SUPKEM,75263.00
,,14118,St. Elizabeth Chiga Health centre,Health Centre,KEC,670942.00
,,14118,St Mark's Lela Dispensary ,Dispensary,MCK/GoK,511987.00
,,16664,Usoma Dispensary,Dispensary,MCK/GoK,172201.00
,NYANDO,13881,Nyakach (AIC) Dispensary ,Dispensary,CHAK,158389.00
,,13477,Anding'o Opanga Dispensary ,Dispensary,GoK,497753.00
,,13491,Awasi Mission Dispensary,Dispensary,KEC,351011.00
,,13506,Bonde Dispensary ,Dispensary,GoK,521471.00
,,13518,Bunde Dispensary ,Dispensary,GoK,468046.00
,,13521,Chemelil Dispensary (Nyando),Dispensary,GoK,539059.00
,,17118,Holo Dispensary,Dispensary,GoK,85537.00
,,16283,Kadinda Health Centre,Health Centre,GoK,60828.00
,,13652,Kandege Dispensary ,Dispensary,GoK,751769.00
,,16282,Kasogo Dispensary,Dispensary,GoK,209409.00
,,13657,Katito Health Centre,Health Centre,GoK,743376.00
,,13687,Kibigori Dispensary ,Dispensary,GoK,562165.00
,,13688,Kibogo Dispensary ,Dispensary,GoK,450694.00
,,13694,Kinasia Dispensary ,Dispensary,GoK,271274.00
,,17110,Koru Dispesanry,Dispensary,GoK,147402.00
,,13727,Kusa Health Centre,Health Centre,GoK,616910.00
,,13759,Makindu Dispensary ,Dispensary,GoK,349266.00
,,13817,Mnara Dispensary ,Dispensary,GoK,484927.00
,,13884,Nyakongo Dispensary ,Dispensary,GoK,474082.00
,,13899,Nyamarimba Dispensary ,Dispensary,GoK,282403.00
,,13928,Nyang'oma Health Centre,Health Centre,GoK,681322.00
,,13955,Oboch Dispensary ,Dispensary,GoK,568861.00
,,13956,Obumba Dispensary ,Dispensary,GoK,260288.00
,,13965,Ogen Dispensary ,Dispensary,GoK,708199.00
,,13976,Olasi Dispensary  (Nyando),Dispensary,GoK,325454.00
,,14024,Rae Dispensary ,Dispensary,GoK,511522.00
,,14066,Sango Rota Dispensary ,Dispensary,GoK,514398.00
,,14086,Sigoti Health Centre,Health Centre,GoK,566409.00
,,14096,Sondu Health Centre,Health Centre,GoK,1280455.00
,,14104,St Clare Bolo Health Centre,Health Centre,KEC,740641.00
,,14141,Tamu Dispensary ,Dispensary,GoK,693393.00
,RACHUONYO,13463,Adiedo Dispensary ,Dispensary,GoK,539501.00
,,13466,Agawo Dispensary ,Dispensary,GoK,448084.00
,,13472,Alum Beach Dispensary ,Dispensary,GoK,118794.00
,,13529,Chuowe Dispensary ,Dispensary,GoK,255200.00
,,13530,Chuthber Dispensary ,Dispensary,GoK,309476.00
,,13584,Godber Dispensary ,Dispensary,GoK,319001.00
,,13592,Got Oyaro Dispensary ,Dispensary,GoK,286119.00
,,13604,Holy Family Oriang Mission Dispensary ,Dispensary,KEC,231939.00
,,13606,Homa Hills Health Centre,Health Centre,CBO,142437.00
,,13607,Homa Lime Health Centre,Health Centre,GoK,364805.00
,,13646,Kajieyi Dispensary ,Dispensary,GoK,180344.00
,,13658,Kauma Dispensary (Rachuonyo),Dispensary,GoK,423483.00
,,13693,Kimonge Dispensary ,Dispensary,GoK,357242.00
,,13708,Kobuya Dispensary ,Dispensary,GoK,423053.00
,,13711,Kogweno Oriang' Dispensary ,Dispensary,GoK,638049.00
,,13712,Kokwanyo Dispensary ,Dispensary,GoK,576786.00
,,13721,Kosele Dispensary ,Dispensary,GoK,479051.00
,,13733,Lela (Community) Dispensary ,Dispensary,GoK,258503.00
,,13784,Masogo Dispensary,Dispensary,GoK,278988.00
,,13795,Mawego Health Centre,Health Centre,KEC,80887.00
,,13812,Miriu Health Centre,Health Centre,GoK,883581.00
,,13863,Nyabola Dispensary ,Dispensary,GoK,496664.00
,,13873,Nyagowa Dispensary,Dispensary,CHAK,318091.00
,,13889,Nyalgosi Dispensary ,Dispensary,GoK,321824.00
,,13926,Nyangiela Dispensary ,Dispensary,GoK,606316.00
,,16876,Nyaoga Community  Dispensary,Dispensary,CBO,117549.00
,,18051,Nyawango Dispensary,Dispensary,GoK,102377.00
,,13953,Ober Health Centre,Health Centre,GoK,825237.00
,,13972,Okiki Amayo Health Centre,Health Centre,GoK,413767.00
,,13974,Olando Dispensary ,Dispensary,GoK,499823.00
,,13978,Ombek Dispensary ,Dispensary,GoK,429801.00
,,13980,Omboga Dispensary ,Dispensary,GoK,416831.00
,,13981,Omiro Dispensary ,Dispensary,GoK,400653.00
,,14002,Othoro Health Centre (Rachuonyo),Health Centre,GoK,856779.00
,,14039,Raruowa Health Centre,Health Centre,KEC,52648.00
,,17852,Oyuma Dispensary,Dispensary,GoK,372462.00
,,14078,Shirikisho Catholic Dispensary,Dispensary,KEC,255966.00
,,14089,Simbi Kogembo Dispensary ,Dispensary,GoK,417501.00
,,14090,Simbiri Dispensary,Dispensary,CHAK,132913.00
,,14092,Sino Dispensary ,Dispensary,GoK,338768.00
,,17170,Tala Dispensary,Dispensary,GoK,622350.00
,,14168,Wagwe Health Centre,Health Centre,GoK,455455.00
,,14174,Wire Dispensary ,Dispensary,CHAK,282242.00
,,17069,Yalla Dispensary,Dispensary,GoK,241608.00
HOMABAY,HOMABAY,16768,Amoya Dispensary,Dispensary,GoK,139849.00
,,13488,Asumbi Health Centre,Health Centre,KEC,283568.00
,,13578,GK Prison Dispensary (Homa Bay),Dispensary,GoK,194266.00
,,13587,Gongo Dispensary ,Dispensary,GoK,194454.00
,,13589,Got Kojowi Health Centre,Health Centre,GoK,284753.00
,,16769,Kadhola Dispensary,Dispensary,GoK,278014.00
,,13643,Kager Dispensary,Dispensary,CHAK,109021.00
,,13686,Kiasa Dispensary ,Dispensary,GoK,241694.00
,,16765,Kijawa Dispensary,Dispensary,GoK,277452.00
,,13728,Kwamo Dispensary ,Dispensary,GoK,337922.00
,,13732,Lambwe Forest Dispensary ,Dispensary,GoK,602644.00
,,16770,Lwanda Awiti Dispensary,Dispensary,GoK,761090.00
,,13751,Magina Health Centre,Health Centre,GoK,218230.00
,,13761,Malela Dispensary ,Dispensary,GoK,233893.00
,,13769,Manyatta (SDA) Dispensary,Dispensary,CHAK,143094.00
,,16258,Maram Dispensary,Dispensary,GoK,176419.00
,,13777,Marindi Health Centre,Dispensary,GoK,572128.00
,,16766,Miniambo Dispensary,Dispensary,GoK,292928.00
,,13813,Mirogi Health Centre,Health Centre,CHAK,144405.00
,,13843,Ndiru Health Centre,Health Centre,GoK,730074.00
,,16771,Ndisi Dispensary,Dispensary,CHAK,191957.00
,,13849,Ngegu Dispensary ,Dispensary,GoK,448004.00
,,13855,Nguku Dispensary ,Dispensary,GoK,51858.00
,,13875,Nyagoro Health Centre,Health Centre,GoK,575747.00
,,16986,Nyalkinyi (Jersey) Dispensary,Dispensary,GoK,258169.00
,,13902,Nyamasi Dispensary ,Dispensary,GoK,393962.00
,,13952,Ober Dispensary ,Dispensary,GoK,191146.00
,,13957,Obunga Dispensary ,Dispensary,GoK,392152.00
,,13958,Obwanda Dispensary ,Dispensary,GoK,411061.00
,,13962,Ogande Dispensary ,Dispensary,CHAK,245875.00
,,16259,Okok Dispensary,Dispensary,GoK,185467.00
,,13979,Ombo Kachieng' Dispensary ,Dispensary,GoK,924341.00
,,16985,Oneno Dispensary,Dispensary,GoK,104091.00
,,16767,Oridi Dispensary,Dispensary,GoK,150833.00
,,14011,Pala Health Centre,Health Centre,GoK,258356.00
,,14015,Ponge Dispensary  (Homa Bay),Dispensary,GoK,240696.00
,,14031,Randung' Dispensary ,Dispensary,GoK,355084.00
,,14035,Rangwe (SDA) Dispensary,Dispensary,CHAK,404134.00
,,14038,Rariw Dispensary,Dispensary,GoK,259043.00
,,14124,St Paul's Health Centre,Health Centre,KEC,123562.00
,,14172,Wiga Dispensary,Dispensary,GoK,252240.00
,SUBA,13479,Angiya Dispensary ,Dispensary,GoK,163646.00
,,13585,Godbura Health Centre,Health Centre,GoK,140767.00
,,13642,Kageno Dispensary ,Dispensary,CBO,51980.00
,,13650,Kamasengere Dispensary ,Dispensary,GoK,191216.00
,,13691,Kigwa Dispensary ,Dispensary,GoK,435656.00
,,13700,Kisaku Dispensary ,Dispensary,GoK,165561.00
,,13705,Kitare Health Centre,Health Centre,GoK,854081.00
,,13707,Kiwa Dispensary ,Dispensary,GoK,115447.00
,,13731,Lambwe Dispensary ,Dispensary,GoK,530283.00
,,13742,Lwanda Gwassi Dispensary ,Dispensary,GoK,297904.00
,,13753,Magunga Health Centre,Health Centre,GoK,1244315.00
,,13828,Msare Health Centre,Health Centre,GoK,364531.00
,,13842,Ndhuru Dispensary ,Dispensary,GoK,423690.00
,,13854,Ng'othe Dispensary ,Dispensary,GoK,125451.00
,,13870,Nyadenda Dispensary ,Dispensary,GoK,393488.00
,,13915,Nyamrisra Health Centre,Health Centre,GoK,325234.00
,,13920,Nyandiwa Dispensary ,Dispensary,GoK,402630.00
,,13946,Nyatoto Health Centre,Health Centre,GoK,428620.00
,,13949,NYS Dispensary (Suba),Dispensary,GoK,110613.00
,,13950,Obalwanda Dispensary ,Dispensary,GoK,282971.00
,,13951,Obanga Health Centre,Health Centre,GoK,269042.00
,,14016,Ponge Dispensary  (Suba),Dispensary,GoK,332940.00
,,17593,Remba Dispensary,Dispensary,GoK,153834.00
,,14059,Roo Dispensary ,Dispensary,GoK,230799.00
,,14074,Seka Health Centre,Health Centre,GoK,565702.00
,,14075,Sena Health Centre,Health Centre,GoK,556847.00
,,14095,Soklo Dispensary ,Dispensary,GoK,185137.00
,,14119,St Mary's Dispensary (Suba),Dispensary,GoK,185137.00
,,14140,Takawiri Dispensary ,Dispensary,GoK,156419.00
,,14150,Tom Mboya Memorial Health Centre,Health Centre,GoK,858628.00
,,14155,Ugina Health Centre,Health Centre,GoK,482228.00
,,14162,Usao Dispensary ,Dispensary,GoK,581497.00
,,14169,Wakula Dispensary ,Dispensary,GoK,646735.00
,,14171,Waware Dispensary ,Dispensary,GoK,311785.00
,,14176,Yokia Dispensary ,Dispensary,GoK,266218.00
MIGORI,MIGORI,13467,Agenga Dispensary ,Dispensary,GoK,465086.00
,,13478,Aneko Dispensary ,Dispensary,GoK,313780.00
,,13480,Anjego Dispensary,Dispensary,GoK,285070.00
,,13486,Arombe Dispensary ,Dispensary,GoK,389334.00
,,13494,Bande Dispensary ,Dispensary,GoK,511585.00
,,16268,Diruma Dispensary,Dispensary,GoK,52428.00
,,13576,Giribe Dispensary ,Dispensary,GoK,358994.00
,,13582,God Jope Dispensary ,Dispensary,GoK,302563.00
,,13583,God Kwer Dispensary ,Dispensary,GoK,436772.00
,,13639,Kabuto Dispensary ,Dispensary,GoK,358006.00
,,13640,Kadem TB & Leprosy Dispensary,Dispensary,KEC,321835.00
,,16269,Kipingi Dispensary,Dispensary,GoK,183178.00
,,13706,Kituka Dispensary ,Dispensary,GoK,228293.00
,,16270,Kombato Dispensary,Dispensary,GoK,194692.00
,,13736,Luciel Mission Dispensary,Dispensary,CHAK,422195.00
,,13741,Lwanda Dispensary  ,Dispensary,GoK,295200.00
,,13744,Macalder Mission Dispensary,Dispensary,KEC,228442.00
,,13793,Matoso Catholic Dispensary,Dispensary,KEC,707562.00
,,13804,Midoti Dispensary ,Dispensary,GoK,295793.00
,,16272,Mugabo Dispensary,Dispensary,GoK,53120.00
,,13833,Muhuru Health Centre,Dispensary,GoK,565150.00
,,16273,Namba Kodero Dispensary,Dispensary,GoK,109551.00
,,13844,Ndiwa Dispensary ,Dispensary,GoK,458316.00
,,16274,Ng'imalo Dispensary,Dispensary,GoK,52280.00
,,13896,Nyamanga Dispensary,Dispensary,GoK,281858.00
,,13897,Nyamaraga Dispensary,Dispensary,GoK,908331.00
,,13919,Nyandago Koweru Dispensary ,Dispensary,GoK,221227.00
,,13940,Nyarongi Dispensary ,Dispensary,GoK,140633.00
,,17740,Obware Dispensary,Dispensary,GoK,55591.00
,,13959,Ochuna Dispensary ,Dispensary,GoK,477637.00
,,13969,Ogwedhi Health Centre,Health Centre,GoK,701632.00
,,16276,Ogwedhi Sigawa Dispensary,Dispensary,GoK,136630.00
,,13975,Olasi Dispensary  ,Dispensary,GoK,640161.00
,,16277,Ondong  Dispensary,Dispensary,GoK,129564.00
,,13996,Osingo Dispensary ,Dispensary,GoK,254532.00
,,13999,Otati Dispensary ,Dispensary,GoK,619407.00
,,14001,Othoch Rakuom Dispensary ,Dispensary,GoK,284477.00
,,14047,Riat Dispensary  (Migori),Dispensary,GoK,236150.00
,,14069,Saro Dispensary ,Dispensary,GoK,494932.00
,,14135,Suna Rabuor Dispensary ,Dispensary,GoK,218954.00
,,14136,Suna Ragana Dispensary ,Dispensary,GoK,349754.00
,,16278,Thim Lich Dispensary,Dispensary,GoK,198250.00
,,14170,Wath Onger Dispensary ,Dispensary,GoK,322329.00
,,14173,Winjo Dispensary ,Dispensary,GoK,121757.00
,,16279,Yago Dispensary,Dispensary,GoK,61768.00
,,17728,GK Prisons Dispensary (Migori),Dispensary,GoK,182684.00
,,13806,Migori TTC Dispensary,Dispensary,GoK,51885.00
,,14103,St. Camillus Mission hospital,Health Centre,KEC,1103468.00
,RONGO,17050,Angaga Dispensary,Dispensary,GoK,200851.00
,,13519,Bware Dispensary ,Dispensary,GoK,408209.00
,,13532,Dede Dispensary ,Dispensary,GoK,531459.00
,,13649,Kamagambo,Health Centre,CHAK,437382.00
,,17341,Kitere,Health Centre,GoK,160975.00
,,17038,Koloo Dispensary,Dispensary,GoK,126923.00
,,17344,Kolwal,Dispensary,GoK,197598.00
,,13724,Kuja Dispensary ,Dispensary,GoK,371481.00
,,13729,Kwoyo Kodalo Dispensary ,Dispensary,GoK,724387.00
,,13740,Lwala Dispensary ,Dispensary,GoK,553810.00
,,13778,Mariwa Health Centre,Health Centre,GoK,529150.00
,,17342,Midida,Dispensary,GoK,89722.00
,,13809,Minyenya Dispensary ,Dispensary,GoK,529202.00
,,17345,Ndege Oriedo,Dispensary,GoK,418125.00
,,13850,Ngere Dispensary ,Dispensary,GoK,581094.00
,,13853,Ngodhe Dispensary ,Dispensary,GoK,418125.00
,,17052,Ngo'nga' Dispensary,Dispensary,GoK,121518.00
,,13885,Nyakuru Dispensary ,Dispensary,GoK,495150.00
,,13900,Nyamasare Dispensary ,Dispensary,GoK,306052.00
,,17607,Ombo Bita,Dispensary,GoK,168216.00
,,17039,Ombo Kowiti,Dispensary,GoK,146651.00
,,13988,Ongito Dispensary ,Dispensary,GoK,234536.00
,,13989,Ongo Health Centre,Health Centre,GoK,530199.00
,,13997,Osogo Dispensary ,Dispensary,GoK,340944.00
,,13998,Otacho Dispensary ,Dispensary,GoK,470175.00
,,14009,Oyani Health Centre,Dispensary,GoK,471644.00
,,17343,Piny Owacho,Dispensary,GoK,200012.00
,,14019,Rabondo Dispensary ,Dispensary,GoK,361092.00
,,14082,Sibuoche Dispensary ,Dispensary,GoK,328089.00
,,17051,Siruti Dispensary,Dispensary,GoK,144605.00
,,14161,Uriri Health Centre,Health Centre,GoK,1560690.00
,,14166,Verna Health Centre,Health Centre,CHAK,427360.00
,KURIA WEST,13517,Bugumbe Health Centre ,Health Centre,GoK,939774.00
,,13565,Getambwega Dispensary ,Dispensary,GoK,498029.00
,,13569,Getongoroma Dispensary ,Dispensary,GoK,309226.00
,,13619,Iraha Dispensary,Dispensary,GoK,218385.00
,,13713,Kombe Dispensary,Dispensary,GoK,228543.00
,,13715,Komomange Dispensary ,Dispensary,GoK,371218.00
,,13716,Komosoko Dispensary ,Dispensary,GoK,355720.00
,,13779,Masaba Health Centre,Health Centre,GoK,693848.00
,,16721,Mogori/Komasimo Dispensary (Outreach),Dispensary,GoK,364569.00
,,13824,Motemorabu Dispensary ,Dispensary,GoK,684790.00
,,13830,Muchebe Dispensary ,Dispensary,GoK,270743.00
,,13851,Ngisiru Dispensary ,Dispensary,GoK,303938.00
,,13859,Nyabikaye Dispensary ,Dispensary,CHAK,251580.00
,,13862,Nyabokarange Dispensary ,Dispensary,GoK,331793.00
,,13898,Nyamaranya Dispensary ,Dispensary,GoK,334829.00
,,13907,Nyamekongoroto Dispensary ,Dispensary,GoK,575519.00
,,13909,Nyametaburo Dispensary ,Dispensary,GoK,815790.00
,,13927,Nyangoge Health Centre,Health Centre,GoK,456248.00
,,13941,Nyasese Dispensary ,Dispensary,GoK,418602.00
,,14144,Taranganya Dispensary ,Dispensary,GoK,562849.00
,,14149,Tisinye Dispensary ,Dispensary,GoK,582797.00
,KURIA EAST,13526,Chinato Dispensary ,Dispensary,GoK,1041141.00
,,13556,Gairoro Dispensary ,Dispensary,GoK,312134.00
,,13570,Getongoroma Health Centre,Dispensary,CHAK,1109154.00
,,16665,Girigiri Dispensary,Dispensary,GoK,134061.00
,,13597,Gwitembe Dispensary ,Dispensary,GoK,519414.00
,,13659,Kebaroti Dispensary ,Dispensary,KEC,205198.00
,,13723,Kugitimo Health Centre ,Health Centre,GoK,784007.00
,,13758,Makararangwe Dispensary,Dispensary,GoK,423177.00
,,16666,Nyaitara Dispensary,Dispensary,GoK,626408.00
,,13910,Nyametembe Dispensary ,Dispensary,GoK,397556.00
,,14079,Siabai/Makonge Dispensary ,Dispensary,GoK,540465.00
,,14143,Taragai Dispensary ,Dispensary,GoK,116595.00
KISII,KISII CENTRAL,13545,Entanda Dispensary ,Dispensary,GoK,739445.00
,,13546,Eramba Dispensary ,Dispensary,GoK,725993.00
,,13580,GOK Prisons Dispensary,Dispensary,GoK,660312.00
,,13620,Iranda Health Centre,Health Centre,GoK,626500.00
,,13621,Irondi Dispensary,Dispensary,GoK,162944.00
,,13623,Isecha Health Centre,Health Centre,GoK,608770.00
,,13662,Kegogi Health Centre,Health Centre,GoK,493267.00
,,13696,Kiogoro Health Centre,Health Centre,GoK,1046470.00
,,13786,Masongo Dispensary ,Dispensary,GoK,470859.00
,,13790,Matongo Dispensary ,Dispensary,GoK,372120.00
