COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
,,15150,Mashuru H/C.,Health Centre,GoK,224443.00
,,15180,Merueshi Village H/C,Dispensary,CHAK,107623.00
,,15182,Meto  Disp.,Dispensary,GoK,140019.00
,,15185,Mile 46 H/C.,Health Centre,GoK,519445.00
,,15294,Namanga H/C.,Health Centre,GoK,790149.00
,,15340,Ngatataek  Disp.,Dispensary,GoK,166925.00
,,15419,Oloiyangalani Disp.,Dispensary,GoK,172965.00
,,15443,AIC Orinie,Dispensary,CHAK,122997.00
,,15515,Sajiloni Disp.,Dispensary,GoK,193831.00
,,15574,Simba H/C.,Health Centre,GoK,574354.00
,,15582,Singiraine Disp.,Dispensary,GoK,99935.00
,,15737,Torosei Disp.,Dispensary,GoK,103230.00
,,16426,Pelewa Disp.,Dispensary,GoK,235562.00
,,16428,Kilonito Disp.,Dispensary,GoK,100668.00
,,16429,Olenarau Disp.,Dispensary,GoK,100668.00
,,14582,Isinya Health Center,Health Centre,GOK,1381937.00
,,14950,Kitengela Health Center,Health Centre,GOK,2212124.00
,,15440,Ongata Rongai Health Center,Health Centre,GOK,1740908.00
,,14517,Athi River G.K. Prison Disp.,Dispensary,GOK,1041406.00
,,15667,St Theresa Disp (FBO),Dispensary,CHAK,826755.00
,,14469,Entasopia Health Centre,Health Centre,GOK,355997.00
,,14445,Embulbul Disp (FBO),Dispensary,CHAK,1758251.00
,,14486,Ewusokedong Disp,Dispensary,GOK,406605.00
,,15283,Najile Disp,Dispensary,GOK,319482.00
,,15226,Mosiro Disp,Dispensary,GOK,232405.00
,,15429,Oloshoibor Disp,Dispensary,GOK,201518.00
,,15560,Shompole Disp,Dispensary,GOK,174109.00
,,15409,Olkiramatian Disp,Dispensary,GOK,146654.00
,,17799,Oloolua Disp,Dispensary,GOK,319482.00
,,14460,Enkirrgiri Disp,Dispensary,GOK,143406.00
,,15513,Saikeri Dispensary,Dispensary,GOK,139333.00
,,15046,Lodariak Dispensary,Dispensary,GOK,117140.00
,,15418,Oloika Disp,Dispensary,GOK,152008.00
,,15434,Oltepesi Disp,Dispensary,GOK,159238.00
,,15041,Ilpolosat Disp,Dispensary,GOK,180195.00
,,15300,Namuncha Disp,Dispensary,GOK,141804.00
,,15425,Olooseos Disp,Dispensary,GOK,190124.00
,,14891,Kipeto Disp,Dispensary,GOK,100668.00
,,15403,Olgumi Disp,Dispensary,GOK,100668.00
,,15395,Oldorko Disp,Dispensary,GOK,100668.00
,,15393,Oldoinyionyokie Disp,Dispensary,GOK,123226.00
,,15424,Olooltepes Disp,Dispensary,GOK,209114.00
,,14475,Ereteti Disp,Dispensary,GOK,206231.00
,,16427,Esonorua Dispensary ,Dispensary,GOK,142673.00
,,14556,Icross Disp,Dispensary,GOK,175985.00
,,14541,GSU Magadi Disp,Dispensary,GOK,106113.00
,,17868,Eremit Disp,Dispensary,GOK,162075.00
,,16431,Murantawa Dispensary ,Dispensary,GOK,152191.00
,,17867,Oloosirkon Disp,Dispensary,GOK,228790.00
,,17795,Pakase Disp.,Dispensary,GOK,151779.00
,,15107,Magadi Health Centre,Health Centre,Company private,984758.00
LAIKIPIA,LAIKIPIA NORTH,14561,ILPOLEI DISPENSARY,Dispensary,GOK,710851.00
,,14869,KIMANJO DISPENSARY,Dispensary,GOK,674434.00
,,14483,EWASO DISPENSARY,Dispensary,GOK,552564.00
,,14197,ARJIJO DISPENSARY,Dispensary,GOK,398062.00
,,15065,LOKUSERO DISPENSARY,Dispensary,GOK,270242.00
,LAIKIPIA EAST,15145,MARURA DISPENSARY,Dispensary,GOK,258460.00
,,14659,KALALU DISPENSARY,Dispensary,GOK,845275.00
,,15253,MURAMATI DISPENSARY,Dispensary,GOK,353953.00
,,15694,SWEET WATERS DISPENSARY,Dispensary,GOK,248954.00
,,14480,ETHI DISPENSARY,Dispensary,CHAK,187135.00
,,15007,LAMURIA DISPENSARY,Dispensary,GOK,723376.00
,,15152,MATANYA DISPENSARY,Dispensary,GOK,713249.00
,,15430,OLPEJETA DISPENSARY,Dispensary,GOK,256037.00
,,15784,WIYUMIRERIE DISPENSARY,Dispensary,GOK,559292.00
,,15349,NGOBIT DISPENSARY,Dispensary,GOK,723376.00
,,15267,MWITURIA DISPENSARY,Dispensary,GOK,114878.00
,,14522,G.K. PRISONS DISPENSARY,Dispensary,GOK,454914.00
,,15368,NTURUKUMA DISPENSARY,Dispensary,GOK,293252.00
,,14860,KIHATO DISPENSARY,Dispensary,GOK,226836.00
,,17889,WITHARE DISPENSARY,Dispensary,GOK,135194.00
,,15148,MARY IMMACULATE CATHOLIC,Dispensary,KEC,230253.00
,,15035,LIKII DISPENSARY,Dispensary,GOK,507724.00
,LAIKIPIA WEST,16676,GOK Rumuruti Prisons Dispensary,Dispensary,GOK,162311.00
,,16677,Kabati Dispensary (Laikipia West),Dispensary,GOK,114267.00
,,14800,Karaba Dispensary (Laikipia West),Dispensary,GOK,257699.00
,,16678,Kiruri Dispensary (Laikipia West),Dispensary,GOK,148167.00
,,15086,Lorien Dispensary,Dispensary,GOK,117131.00
,,15093,Losogwa Dispensary,Dispensary,GOK,493304.00
,,15102,Luoniek Dispensary,Dispensary,GOK,151674.00
,,16679,Mahianyu Dispensary,Dispensary,GOK,213687.00
,,15170,Melwa Health Centre,Health Centre,GOK,700212.00
,,15187,Minjore Dispensary,Dispensary,GOK,284761.00
,,15247,Muhotetu Dispensary,Dispensary,GOK,342566.00
,,17033,Muruku Dispensary,Dispensary,GOK,127067.00
,,15261,Mutara Dispensary,Dispensary,GOK,141094.00
,,15263,Muthegera Dispensary,Dispensary,GOK,413815.00
,,15266,Mwenje Dispensary,Dispensary,GOK,416503.00
,,15325,Ndindika Health Centre,Health Centre,GOK,1157979.00
,,15328,Ndurumo Dispensary,Dispensary,GOK,315329.00
,,15338,Ngarua Catholic Dispensary,Dispensary,KEC,386461.00
,,15339,Ngarua Health Centre,Health Centre,GOK,910158.00
,,15404,Oljabet Health Centre,Health Centre,GOK,587348.00
,,15461,Pesi Dispensary (Laikipia West),Dispensary,GOK,348528.00
,,15501,Rumuruti Catholic Dispensary,Dispensary,KEC,230637.00
,,15520,Salama Health Centre (Laikipia West),Dispensary,GOK,348119.00
,,15588,Sipili Catholic Dispensary,Dispensary,KEC,191009.00
,,15589,Sipili Health Centre,Health Centre,GOK,376408.00
,,15614,Sosian Dispensary,Dispensary,GOK,150095.00
,,15690,Survey Dispensary,Dispensary,GOK,163363.00
,,15723,Thigio Dispensary (Laikipia West),Dispensary,GOK,131976.00
,,15502,Olmoran Health Centre,Health Centre,GOK,504234.00
NAKURU,NAKURU NORTH,15628,ST. ANTONY HEALTH CENTER,Health Centre,KEC,1321819.00
,,15678,SUBUKIA HEALTH CENTER,Health Centre,GOK,1558692.00
,,15778,WESLY HEALTH CENTER,Health Centre,KEC,1040178.00
,,15776,WEI DISPENSARY,Dispensary,GOK,960731.00
,,14424,DUNDORI HEALTH CENTER,Health Centre,GOK,1411537.00
,,14223,BAHATI DISPENSARY,Dispensary,GOK,1307755.00
,,14458,ENGASHURA HEALTH CENTER,Health Centre,GOK,1276800.00
,,14610,KABATINI HEALTH CENTER,Health Centre,GOK,1378040.00
,,14611,KABAZI HEALTH CENTER,Health Centre,GOK,1637315.00
,,14954,KIWAMU HEALTH CENTER,Health Centre,GOK,1307397.00
,,17792,MILORENI DISPENSARY,Dispensary,GOK,814685.00
,,17791,RUGURU DISPENSARY,Dispensary,GOK,420995.00
,NAKURU CENTRAL,14230,BONDENI MAT,Maternity Home,GOK,533220.00
,,15470,Prison disp,Dispensary,GOK,780795.00
,,15324,PECA NDARUGU,Dispensary,CHAK,103384.00
,,14498,FITC DISP,Dispensary,GOK,1289629.00
,,14545,HEKIMA DISP,Health centre,CHAK,256880.00
,,14733,KAPKURES HEALTH CENTRE,Dispensary,GOK,598109.00
,,15008,LANET H/C,Health centre,GOK,369204.00
,,15009,LANGA LANGA H/C,Health centre,GOK,618178.00
,,15232,MOTHER KEVIN DISP,Health centre,CHAK,172530.00
,,15188,MIRUGI DISP,Dispensary,GOK,523672.00
,,17988,SIMBOIYONIN DISP,Dispensary,GOK,133609.00
,,15673,STATE HOUSE,Dispensary,GOK,103384.00
,,17985,CIVIL SERVANT DISP,Dispensary,GOK,110865.00
,,15006,LALWET DISP,Dispensary,GOK,183781.00
,,17742,KITI DISPENSARY.,Dispensary,GOK,307173.00
,,15165,MBOGOINI DISP,Dispensary,GOK,459088.00
,,15372,NYAMAMITHI DISP,Dispensary,GOK,378204.00
,,15639,ST.FRANCIS H/C,Health centre,KEC,284490.00
,,18010,TACHASIS DISP,Dispensary,GOK,195761.00
,,14558,IGWAMITI DISP,Dispensary,GOK,172348.00
,,15097,LOWER SOLAI DISP,Dispensary,GOK,575365.00
,,15763,UPPER SOLAI H/C,Health centre,GOK,730076.00
,,14226,BANITA DISP,Dispensary,GOK,320248.00
,,15114,MAJI TAMU,Dispensary,GOK,365251.00
,,15495,RONGAI H/C,Health centre,GOK,557728.00
,,14684,KANDUTURA DISP,Dispensary,GOK,229027.00
,,15021,LELECHWET DISP,Dispensary,GOK,103384.00
,,15027,LENGENET DISP,Dispensary,GOK,164381.00
,,15685,SUMEK DISP,Dispensary,GOK,213641.00
,,14359,G.S.U KABARAK,Dispensary,GOK,98458.00
,,14758,KAPSETEK DISP,Dispensary,GOK,163043.00
,,15256,MURICHO DISP,Dispensary,GOK,103384.00
,,15200,MOGOTIO RHDC,Health centre,GOK,878402.00
,,14886,Kings Mission Dispensary,Dispensary,CHAK,119804.00
,,14606,KABARAK H/C,Health centre,GOK,343236.00
,,15290,PCEA Nakuru West Parish Dispensary,Dispensary,CHAK,638976.00
,,15432,OL-RONGAI DISP,Dispensary,GOK,325600.00
,,14922,KIPSYENAN,Dispensary,GOK,236994.00
,,15119,MANGU DISP,Dispensary,GOK,335269.00
,,15385,OKILGEI DISP,Dispensary,GOK,214857.00
,,15676,Stream of Life ,Dispensary,CHAK,105270.00
,,15462,PIAVE DISP,Dispensary,GOK,368474.00
,,14575,INDUSTRIAL AREA,Dispensary,GOK,103384.00
,,14263,BONDENI DISP,Dispensary,GOK,186457.00
,,17793,BARUT DISP,Dispensary,GOK (New),103384.00
,MOLO,14213,Arimi Dispensary,Dispensary,GoK,374030.00
,,14222,Bagaria Dispensary,Dispensary,GoK,103796.00
,,17302,Baraget Dispensary,Dispensary,GoK,150712.00
,,14291,Chebara Dispensary,Dispensary,GoK,529517.00
,,14312,Chemaner Dispensary (Molo),Dispensary,GoK,361315.00
,,14328,Chepakundi Dispensary,Dispensary,GoK,141474.00
,,14374,Cheptuech Dispensary,Dispensary,GoK,257882.00
,,14447,Emitik Dispensary,Dispensary,GoK,223318.00
,,16413,GSU Dispensary,Dispensary,GoK,252692.00
,,14552,Huruma Dispensary,Dispensary,Chak,379324.00
,,14559,Ikumbi Health Centre,Health Centre,GoK,447933.00
,,14668,Kamara Dispensary,Dispensary,GoK,427537.00
,,17301,Kaplamai Dispensary,Dispensary,GoK,158030.00
,,16414,Kapsimbeiywo Dispensary,Dispensary,GoK,103796.00
,,14836,Keringet Health Centre (Molo),Health Centre,GoK,1032618.00
,,16415,Kewamoi Dispensary,Dispensary,GoK,313309.00
,,14846,Kianjoya Dispensary,Dispensary,GoK,248592.00
,,16390,Kihingo Dispensary (CDF),Dispensary,GoK,182941.00
,,14924,Kiptagich Dispensary,Dispensary,GoK,453901.00
,,16391,Korao Dispensary (CDF),Dispensary,GoK,146664.00
,,16683,Kuresoi Health Centre,Health Centre,GoK,795495.00
,,15013,Lare Health Centre,Health Centre,GoK,2261826.00
,,16684,Likia Dispensary,Dispensary,GoK,255443.00
,,15129,Mariashoni Dispensary ,Dispensary,GoK,187456.00
,,16410,Matumaini Dispensary,Dispensary,Chak,189273.00
,,15156,Mau Narok Health Centre,Health Centre,GoK,242261.00
,,15159,Mauche Dispensary,Dispensary,GoK,1996834.00
,,15173,Mercy Dispensary,Dispensary,GoK,219841.00
,,15183,Metta Dispensary,Dispensary,GoK,213509.00
,,15214,Molo South Dispensary,Dispensary,GoK,333498.00
,,17191,Murindoku Dispensary,Dispensary,GoK,221034.00
,,15262,Mutarakwa Dispensary (Molo),Dispensary,GoK,377248.00
,,16395,Mwangate Dispensary (CDF),Dispensary,GoK,169344.00
,,15326,Ndoinet Dispensary,Dispensary,GoK,238991.00
,,15331,Neissuit Dispensary,Dispensary,GoK,291097.00
,,15358,Njoro Health Centre,Health Centre,GoK,1508940.00
,,15370,Nyakiambi Dispensary,Dispensary,GoK,267950.00
,,15474,Pwani (GOK) Dispensary ,Dispensary,GoK,276981.00
,,15509,Sachang'wan Dispensary,Dispensary,GoK,262812.00
,,15635,St Clare Dispensary,Dispensary,Kec,164725.00
,,16407,Sururu Health Centre (CDF),Health Centre,GoK,161663.00
,,15721,Teret Dispensary,Dispensary,GoK,191504.00
,,15728,Tinet Dispensary (Molo),Dispensary,GoK,363806.00
,,15745,Tuiyotich Dispensary,Dispensary,GoK,347458.00
,,16393,Tulwet Dispensary (Molo),Dispensary,GoK,137374.00
,,16406,Turi Dispensary,Dispensary,GoK,103796.00
,,16394,Githiriga Dispensary,Dispensary,GoK,254093.00
,,16404,Kiptororo Dispensary,Dispensary,GoK,283364.00
,,16398,Kimugul Dispensary,Dispensary,GoK,103796.00
,NAIVASHA,14801,KARAGITA DISP,Level 2,GOK,417817.00
,,15124,MARAIGUSHU DISP,Level 2,GOK,359947.00
,,14802,KARATE DISP,Level 2,GOK,897672.00
,,15373,NYAMATHI DISP,Level 2,GOK,449725.00
,,15380,N.Y.S  KARATE  DSP.,Level 2,GOK,458675.00
,,14516, NAIVASHA PRISON (ANNEX DISP),Level 2,GOK,400695.00
,,15281,NAIVASHA MAX PRISON H/C,Level 3,GOK,764755.00
,,14513,GOK FARM (NAHRC) DISP,Level 2,GOK,301911.00
,,17821,KIJANI DISPENSARY,Level 2,GOK,402918.00
,,15108,MAI MAHIU HC,Level 3,GOK,760642.00
,,15078,LONGONOT DISP,Level 2,GOK,367841.00
,,15106,MAELA H/C,Level 3,GOK,606156.00
,,15318,NDABIBI DISP,Level 2,GOK,263665.00
,,15203,MOI NDABI DISP,Level 2,GOK,158043.00
,,15489,ROCCO DISP,Level 2,GOK,824237.00
,,14805,KARUNGA DISP,Level 2,GOK,276339.00
,,14425,EBURRU DISP,Level 2,GOK,454006.00
,,14508,GILGIL ASTU DISP,Level 2,GOK,399861.00
,,15377,NYS GILGIL DISP.,Level 2,GOK,937864.00
,,14845,KIAMBOGO DISP,Level 2,GOK,355055.00
,,14871,KIPTANGWANYI DISP,Level 2,GOK,436272.00
,,15406,OL-JORAI H/C,Level 3,GOK,182281.00
,,15190,MITI-MINGI DISP,Level 2,GOK,362226.00
,,14926,HOLY TRINITY H/C,Level 3,CHAK,440497.00
,,14549,HOLY  SPIRIT  H/C,Level 3,CHAK,648794.00
BOMET,BOMET,17085,Belgut Dispensary,Dispensary,GOK,150448.00
,,14261,Bomet Health Centre,Health Centre,GOK,323250.00
,,14311,Chemaner Dispensary,Dispensary,GOK,360818.00
,,14304,Cheboyo Dispensary,Dispensary,GOK,291709.00
,,14304,Chebunyo Dispensary,Dispensary,GOK,664581.00
,,14308,Chelelach Dispensary,Dispensary,GOK,102405.00
,,14580,Irwaga Dispensary,Health Centre,GOK,701447.00
,,14717,Kapkimolwa Bomet,Dispensary,GOK,221078.00
,,14728,Kapkoros Health Centre,Health Centre,GOK,909652.00
,,14759,Kapsimotwa Dispensary,Dispensary,GOK,337645.00
,,14083,Kembu Dispensary,Dispensary,GOK,353445.00
,,14903,Kipleji Dispensary,Dispensary,GOK,233660.00
,,14952,Kitoben Dispensary,Dispensary,GOK,499036.00
,,14676,Kamogil Dispensary,Dispensary,GOK,258588.00
,,14717,Kapkesosio Dispensary,Dispensary,GOK,525135.00
,,14747,Kapoleseroi Dispensary,Dispensary,GOK,442098.00
,,14815,Kataret Dispensary,Dispensary,GOK,175962.00
,,15100,Lugumek Dispensary,Dispensary,GOK,241794.00
,,15116,Makimeny Dispensary,Dispensary,GOK,457957.00
,,15171,Menet Dispensary,Dispensary,GOK,365090.00
,,15178,Merigi Dispensary,Dispensary,GOK,381943.00
,,15244,Mugango Dispensary,Dispensary,GOK,330213.00
,,15321,Ndamichonik Dispensary,Dispensary,GOK,198023.00
,,15323,Ndarawetta Dispensary,Dispensary,GOK,305343.00
,,15388,Olbutyo Health Centre,Health Centre,GOK,469719.00
,,15421,Olokyin Dispensary,Health Centre,GOK,373633.00
,,15540,Segutiet Dispensary,Dispensary,GOK,595706.00
,,15570,Silibwet Dispensary,Dispensary,GOK,417638.00
,,15583,Singorwet Dispensary,Dispensary,GOK,306982.00
,,15587,Siongoroi Health Centre,Health Centre,GOK,496286.00
,,14939,Kiromwok Dispensary,Dispensary,GOK,431390.00
,,14384,Chesoen Dispensary,Dispensary,GOK,368016.00
,,18506,Kabisimba dispensary,Dispensary,GOK,102405.00
,,17093,Sugumerga dispensary,Dispensary,GOK,148283.00
,,17092,Sachora dispensary,Dispensary,GOK,163146.00
,,15751,Tumoi Dispensary,Dispensary,GOK,346832.00
,,14376,Chepwastuiyet Dispensary,Dispensary,GOK,456201.00
,,15714,Tegat Health centre,Health Centre,GOK,693547.00
,,18519,Mulot Dispensary,Dispensary,GOK,102405.00
,,18520,Sibayan Dispensary,Dispensary,GOK,111066.00
,,18521,Kwenik-ab-ilet Dispensary,Dispensary,GOK,102405.00
,,18522,Kitaima Dispensary,Dispensary,GOK,123940.00
,,18523,Nyongores Dispensary,Dispensary,GOK,136579.00
,,18524,Kimunjul Dispenasry,Dispensary,GOK,102405.00
,,18525,Kiplobotwa Dispensary,Dispensary,GOK,116391.00
,,18526,kipyosit Dispensary,Dispensary,GOK,148166.00
,SOTIK,14273,Burgei Dispensary,Dispensary,GOK,444952.00
,,14290,Chebango Dispensary,Dispensary,GOK,325037.00
,,14295,Chebilat Dispensary,Dispensary,GOK,484278.00
,,14297,Chebirbelek Dispensary,Dispensary,GOK,955618.00
,,17334,Cheptangulgei Dispensary (new),Dispensary,GOK,125387.00
,,14505,Gelegele Dispensary,Dispensary,GOK,470371.00
,,14531,Gorgor Dispensary,Dispensary,GOK,359119.00
,,14688,Kanusin Dispensary,Dispensary,GOK,258753.00
,,17293,Kapkelei Dispensary (new),Dispensary,GOK,103957.00
,,16318,Kapkures Dispensary,Dispensary,GOK,130288.00
,,16317,Kapletundo Dispensary,Dispensary,GOK,363451.00
,,17294,Kapsangaru Dispensary (new),Dispensary,GOK,102589.00
,,14777,Kaptebengwo Dispensary,Dispensary,GOK,427455.00
,,16671,Kimawit-Uswet Dispensary,Dispensary,GOK,155195.00
,,14875,Kimolwet Dispensary,Dispensary,GOK,247696.00
,,14918,Kipsingei Dispensary,Dispensary,GOK,275053.00
,,14920,Kipsonoi Health Centre,Health Centre,GOK,596328.00
,,14932,Kiptulwo Dispensary,Dispensary,GOK,252711.00
,,14938,Kiricha Dispensary,Dispensary,GOK,206090.00
,,15233,Motiret Dispensary,Dispensary,GOK,114045.00
,,11981,Ndanai Health Centre,Health Centre,GOK,788170.00
,,15391,Oldepesi Dispensary,Dispensary,GOK,197997.00
,,15497,Rongena Dispensary,Dispensary,GOK,265307.00
,,15532,Saruchat Dispensary,Dispensary,GOK,193894.00
,,15575,Simbi Dispensary,Dispensary,GOK,201987.00
,,15608,Solyot Dispensary,Dispensary,GOK,137470.00
,,15619,Sotik Health Centre,Health Centre,GOK,1033130.00
,,15624,Soymet Dispensary,Dispensary,GOK,334384.00
,,15710,Tarakwa Dispensary,Dispensary,GOK,564639.00
,,17722,Kapchumbe Dispensary,Dispensary,GOK,102589.00
BARINGO,BARINGO CENTRAL ,14246,Bekibon Dispensary,Dispensary,GOK,91873.00
,,14269,Borrowonin  Dispensary,Dispensary,GOK,213145.00
,,14352,Cheplambus Dispensary,Dispensary,GOK,199670.00
,,17018,Chesongo Dispensary,Dispensary,GOK,150671.00
,,14710,Kapkelelwa  Dispensary,Dispensary,GOK,425555.00
,,14723,Kapkole Dispensary,Dispensary,GOK,165371.00
,,17019,Kapkomoi Dispensary,Dispensary,GOK,122375.00
,,14729,Kapkuei Dispensary,Dispensary,GOK,176151.00
,,14732,Kapkures Dispensary,Dispensary,GOK,84278.00
,,14735,Kaplel Dispensary,Dispensary,GOK,253569.00
,,14784,Kaptimbor  Dispensary,Dispensary,GOK,922403.00
,,14811,Kasitet  Dispensary,Dispensary,GOK,104368.00
,,14851,Kibingor  Dispensary,Dispensary,GOK,181296.00
,,14855,Kiboino  Dispensary,Dispensary,GOK,166106.00
,,14907,Kipsacho Dispensary,Dispensary,GOK,100325.00
,,14923,Kiptagich  Health Centre,Dispensary,GOK,483190.00
,,16672,Kisonei Dispensary,Dispensary,GOK,113555.00
,,14953,Kituro Health Centre,Health Centre,GOK,858153.00
,,15197,Mogorwa  Health Centre,Health Centre,GOK,397503.00
,,15346,Ngetmoi  Dispensary,Dispensary,GOK,184481.00
,,15382,Ochii Dispensary,Dispensary,GOK,193545.00
,,15487,Riwo  Dispensary,Dispensary,GOK,55124.00
,,15510,Sacho School Dispensary,Dispensary,PRIVATE,69578.00
,,15521,Salawa Catholic Mission Dispensary PHC,Dispensary,CHAK,273168.00
,,15522,Salawa Health Centre,Health Centre,GOK,622530.00
,,15549,Seretunin Health Centre,Health Centre,GOK,617753.00
,,15604,Sogon  Dispensary,Dispensary,GOK,88198.00
,,16673,Sorok Dispensary,Dispensary,GOK,55124.00
,,15701,Talai  Dispensary,Dispensary,GOK,280028.00
,,15712,Tebei Dispensary,Dispensary,GOK,130949.00
,,15718,Tenges  Health Centre,Health Centre,GOK,874017.00
,,15724,Timboiywo Dispensary,Dispensary,GOK,913583.00
,BARINGO NORTH ,17100,Kalabata Dispensary,Dispensary,GOK,155286.00
,,14694,Kapchepkor  Dispensary,Dispensary,GOK,212524.00
,,14716,Kapkiamo Dispensary,Dispensary,GOK,147072.00
,,14743,Kapluk Dispensary,Dispensary,GOK,370889.00
,,14785,Kaptiony Dispensary,Dispensary,GOK,141041.00
,,14788,Kaptum Dispensary,Dispensary,GOK,416577.00
,,14790,Kaptumin Dispensary,Dispensary,GOK,221443.00
,,14793,Kapturo Dispensary ,Dispensary,GOK,139180.00
,,14810,Kasisit Dispensary,Dispensary,GOK,398867.00
,,14812,Kasok  Dispensary,Dispensary,GOK,221764.00
,,14817,Katibel Dispensary,Dispensary,GOK,358056.00
,,14843,Keturwo Dispensary,Dispensary,GOK,451227.00
,,17102,Kibiryokwonin Dispensary,Dispensary,GOK,51334.00
,,14881,Kimugul Dispensary ,Dispensary,GOK,123972.00
,,14888,Kinyach Dispensary,Dispensary,GOK,170943.00
,,14889,Kipcherere Dispensary,Dispensary,GOK,289525.00
,,14912,Kipsaraman  Dispensary,Dispensary,CHAK,119352.00
,,14993,Koroto Dispensary,Dispensary,GOK,158623.00
,,14998,Kuikui Health Centre,Health Centre,GOK,411187.00
,,15036,Likwon Dispensary,Dispensary,GOK,369606.00
,,17115,Moigutwo Dispensary,Dispensary,GOK,189423.00
,,15223,Mormorio Dispensary,Dispensary,GOK,87781.00
,,15243,Muchukwo Dispensary,Dispensary,GOK,254104.00
,,15465,Poi  Dispensary,Dispensary,GOK,405797.00
,,17101,Rondonin Dispensary,Dispensary,GOK,82391.00
,,15562,Sibilo Dispensary,Dispensary,GOK,101642.00
,,15684,Sumeiyon Dispensary,Dispensary,GOK,410417.00
,,17103,Sutichun Dispensary,Dispensary,GOK,211753.00
,,15729,Tirimionin Dispensary,Dispensary,GOK,160163.00
,,15730,Tirriondonin Dispensary,Dispensary,GOK,317245.00
,,14220,Atiar,Dispensary,GOK,128592.00
,,14243,Barwesa,Dispensary,GOK,408877.00
,,14193,Aiyebo,Dispensary,GOK,243517.00
,,14242,Barttolimo,Dispensary,GOK,246404.00
,,14270,Bossei,Dispensary,GOK,51334.00
,,14241,Bartabwa,Dispensary,GOK,394247.00
,,15785,Yatya  Dispensary,Dispensary,GOK,180953.00
,EAST POKOT,15053,Loiwat Dispensary,Dispensary,GOK,524897.00
,(INCUDING,14979,Kolowa Health Centre,Health Centre,GOK,367707.00
,MARIGAT),15352,Ngoron Dispensary,Dispensary,GOK,245471.00
,,14235,Barpello Dispensary,Dispensary,GOK,347002.00
,,15141,Maron Dispensary,Dispensary,GOK,254992.00
,,14995,Kositei Dispensary,Dispensary,GOK,189746.00
,,15091,Loruk Dispensary,Dispensary,GOK,325697.00
,,15347,Nginyang Health Centre,Health Centre,GOK,608984.00
,,15486,Riongo Dispensary,Dispensary,GOK,151131.00
,,15707,Tangulbei Health Centre,Dispensary,GOK,749130.00
,,14473,Tangulbei Dispensary,Dispensary,GOK,112915.00
,,15249,Mukutani Dispensary,Dispensary,GOK,694203.00
,,14978,Kokwototo Dispensary,Dispensary,GOK,53262.00
,,14392,Churo dispensary,Dispensary,GOK,260584.00
,,15042,Loboi Dispensary,Dispensary,GOK,48602.00
,,14677,Kampi Ya Samaki Health Centre,Dispensary,GOK,205858.00
,,14976,Kokwa Dispensary,Dispensary,GOK,49933.00
,,15137,Marigat PHC,Dispensary,KEC,120971.00
,,15506,Sabor Dispensary,Dispensary,GOK,53262.00
,,14568,Ilng'arua Dispensary,Dispensary,GOK,59986.00
,,14990,Koriema Dispensary,Dispensary,GOK,50266.00
,,15192,Mochongoi Health Centre,Health Centre,GOK,254526.00
,,14809,Kasiela Dispensary,Dispensary,GOK,81025.00
,,15386,Ol-Arabel Dispensary,Dispensary,GOK,89414.00
,,15744,AIC Tuiyobei Dispensary,Dispensary,GOK,197269.00
