COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
,,16659,FURQAN DISP,Dispensary,GOK,225847.00
,,13432,SANGOLE DISP,Dispensary,GOK,205315.00
,,13374,JALISH DISP,Dispensary,GOK,174518.00
,FAFI,13282,Alinjugur Health Centre,Health centre  ,GOK,470633.00
,,13288,Amuma Dispensary,Dispensary,GOK,278732.00
,,13289,Amuma Mobile Dispensary,Dispensary,GOK,452179.00
,,13338,Fafi Dispensary,Dispensary,GOK,200435.00
,,13342,Galmagalla Health Centre,Health Centre,GOK,344121.00
,,13378,Kamuthe Health Centre,Dispensary,GOK,309666.00
,,13405,Mansabubu Health Centre,Health Centre,GOK,667761.00
,,13413,Nanighi Health Centre,Health Centre,GOK,357348.00
,,13459,Yumbis Health Centre,Health Centre,GOK,372496.00
,,18332,Galmagalla Mobile Dispensary,Dispensary,GOK,526529.00
,,17762,Borehole Five Dispensary ,Dispensary,GOK,493674.00
,LAGDERA,13305,BENANE H/C,Health centre,GOK,595161.00
,,16809,DAL-LAHELAY MOBILE DISP,Dispensary,GOK,522193.00
,,13320,DAMAJALE disp,Dispensary ,GOK,390708.00
,,13327,DERTU H/C,Health centre,GOK,1313064.00
,,13356,GURUFA DISP,Dispensary,GOK,411849.00
,,17339,MALIMIN DISP,Dispensary,GOK,281791.00
,,13386,KULAN H/C,Health centre,GOK,460464.00
,,13398,LIBOI H/C,Health centre,GOK,1000409.00
,,13434,SARETHO H/C,Health centre,GOK,388924.00
,,16290,ELDERE DISP,Dispensary,GOK,220331.00
,,16289,BARAKI Disp,Dispensary,GOK,105616.00
,,13438,SHANTABAQ H/C,Health centre,GOK,802646.00
,,17012,Alikune Dispensary,Dispensary,GOK,258420.00
,,17336,Hagarbul Dispensary,Dispensary,GOK,53522.00
,,16952,Kumahumato Dispensary,Dispensary,GOK,188575.00
,,17335,Afwein Dispensary,Dispensary,GOK,114536.00
,,17337,Illan Dispensary,Dispensary ,GOK,87775.00
WAJIR,WAJIR SOUTH,13265,Abakore Health Centre ,Health Centre,GoK,448172.00
,,13293,Argane Dispensary,Dispensary,GoK,387033.00
,,13306,Biyamadhow Health Centre ,Health Centre,GoK,645442.00
,,13313,Burder Dispensary,Dispensary,GoK,266457.00
,,13317,Dadajabula Health Centre ,Health Centre,GoK,1120623.00
,,17006,Dagahley Dispensary,Dispensary,GoK,240609.00
,,13328,Diff Health Centre,Health Centre,GoK,608062.00
,,13329,Dilmanyaley Health Centre ,Health Centre,GoK,345783.00
,,17461,Gerille Dispensary,Dispensary,GoK,193168.00
,,17460,Kulaaley Dispensary,Dispensary,GoK,234959.00
,,13387,Kursin Dispensary,Dispensary,GoK,50304.00
,,13394,Leheley Health Centre ,Health Centre,GoK,728637.00
,,13409,Meri Dispensary,Dispensary,GoK,507685.00
,,13428,Sabuli Health Centre ,Health Centre,GoK,504125.00
,,13429,Sabuli Nomadic Dispensary,Dispensary,GoK,466823.00
,,13435,Sarif Health Centre ,Health Centre,GoK,786138.00
,WAJIR EAST,13268,Africa Inland Church ,Dispensary,CHAK,605417.00
,,13292,Arbaqueranso,Dispensary,GOK,377099.00
,,13302,Barwaqo Dispensary,Dispensary,GOK,542515.00
,,13325,Dasheq,Dispensary,GOK,402322.00
,,13332,Elben,Dispensary,GOK,503676.00
,,13364,Hothan,Dispensary,GOK,712651.00
,,13391,Lafaley,Dispensary,GOK,238143.00
,,13425,Riba,Dispensary,GOK,346461.00
,,13436,Sarman,Dispensary,GOK,153501.00
,,13450,Wagberi,Dispensary,GOK,741200.00
,,16292,Mansa Nomadic,Dispensary,GOK,510484.00
,,16793,Hungai,Dispensary,GOK,215010.00
,,17353,Dunto,Dispensary,GOK,404720.00
,,13281,Alimao,Health Centre ,GOK,621355.00
,,13321,Dambas,Health Centre ,GOK,396596.00
,,13389,Kutulo,Health Centre ,GOK,730910.00
,,13404,Mansa ,Health Centre ,GOK,645958.00
,,13446,Tarbaj,Health Centre ,GOK,650678.00
,,13451,Wajir Bor,Health Centre ,GOK,256403.00
,,17744,Makoror ,Dispensary,GOK,156673.00
,WAJIR WEST,13333,Eldas HC,Health Centre ,GoK,844732.00
,,13358,Hadado HC,Health Centre ,GoK,404127.00
,,13291,Arbajahan HC,Health Centre ,GoK,773546.00
,,17820,Wagalla HC,Health Centre ,GoK,515108.00
,,13447,Tulatula Disp,Dispensary,GoK,703686.00
,,13334,Elnoor Disp,Dispensary,GoK,221629.00
,,13343,Ganyure Disp,Dispensary,GoK,468460.00
,,13437,Shantaabaq Disp,Dispensary,GoK,572808.00
,,13267,Ademasajida Disp,Dispensary,GoK,307517.00
,,17463,Lagboqol Disp,Dispensary,GoK,1035189.00
,,13295,Athibohol Disp,Dispensary,GoK,195984.00
,,17289,Garseyqoftu Disp,Dispensary,GoK,273913.00
,,16286,Arbajahan Nomadic Mobile Clinic,Dispensary,GoK,483715.00
,WAJIR NORTH,13355,GURAR,HEALTH CENTRE,GOK,996756.00
,,13384,KORONDILLE,HEALTH CENTRE,GOK,1462239.00
,,13322,DANABA,HEALTH CENTRE,GOK,588113.00
,,13272,AJAWA,HEALTH CENTRE,GOK,527886.00
,,13351,GODOMA,HEALTH CENTRE,GOK,452543.00
,,13330,DUGO,HEALTH CENTRE,GOK,419890.00
,,13400,MALKAGUFU,DISPENSARY,GOK,371153.00
,,13421,QUDAMA,DISPENSARY,GOK,155403.00
,,13304,BATALU,DISPENSARY,GOK,494750.00
,,13266,ADADIJOLLE,DISPENSARY,GOK,133151.00
,,13416,OGORJI,DISPENSARY,GOK,152138.00
,,13371,INGIRIR,DISPENSARY,GOK,163989.00
,,18166,WAJIR NORTH NOMADIC CLINIC,DISPENSARY,GOK,297019.00
MANDERA,MANDERA CENTRAL,16444,Garsesala Dispensary,Dispensary,GOK,148755.00
,,16443,Elele Nomadic Clinic,Dispensary,GOK,149593.00
,,13456,Yabicho Health centre,Health centre,GOK,232886.00
,,13455,Wargadud Health centre,Health centre,GOK,931543.00
,,13440,Shimbir Fatuma Health centre,Health centre,GOK,2304204.00
,,13424,Rhamudimtu health centre,Health centre,GOK,824913.00
,,13414,Ollo Health centre,Health centre,GOK,215054.00
,,13388,Kotulo health centre (Mandera Central),Health centre,GOK,1329818.00
,,13341,Fincharo Dispensary,Dispensary,GOK,284944.00
,,13310,Bore Hole 11 Health centre,Health centre,GOK,2181778.00
,,13294,Ashabito health centre,Health centre,GOK,719839.00
,MANDERA EAST,13379,Khalalio H/C,health centre,GoK,1076758.00
,,13396,Libehiya H/C,health centre,GoK,537911.00
,,13290,Arabia H/C,health centre,GoK,790247.00
,,13340,Fino H/C,health centre,GoK,793992.00
,,16813,Warankara H/C,health centre,GoK,575363.00
,,17647,Shafshafey H/C,health centre,GoK,499990.00
,,13362,Hareri disp.,dispensary,GoK,1130908.00
,,17870,Bura abor disp,dispensary,GoK,370311.00
,,17648,Kadija disp,dispensary,GoK,436789.00
,,16293,Lafey nomadic,dispensary,GoK,566156.00
,,16811,Border Point 1 (BP1),dispensary,GoK,246406.00
,,17649,Ap buru buru disp,dispensary,GoK,272779.00
,,16812,Neboi disp,dispensary,GoK,252960.00
,MANDERA WEST,13300,Banisa Health Centre,Health Centre ,GOK,1456697.00
,,16314,Takaba Mobile,Dispensary,GOK,1219450.00
,,13323,Dandu Health Centre,Health Centre ,GOK,1140422.00
,,13353,Guba Dispensary,Dispensary,GOK,895240.00
,,17035,Burduras Health centre,Health Centre ,GOK,1277944.00
,,13401,Malkamari Health Centre,Health Centre ,GOK,676236.00
,,13349,Gither Dispensary                 ,Dispensary,GOK,679918.00
,,13337,Eymole Health Centre,Health Centre ,GOK,762790.00
,,13381,Kiliwehiri Health Centre,Health Centre ,GOK,1099191.00
