COUNTY,DISTRICT,MFL No.,FACILITY,CATEGORY,"OWNER(GoK, CHAK, KEC, SUPKEM)", DRAWING RIGHTS ALLOCATION FOR 2012-13 FY 
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,6084517.00
KAKAMEGA,KAKAMEGA EAST,16112.00,SHIKUSA H/C,Health Centre,GoK,422882.00
,,15916.00,KAMBIRI H/C,Health Centre,GoK,1147322.00
,,15900.00,ILEHO H/C,Health Centre,GoK,778251.00
,,16104.00,SHAMAKHUBU H/C,Health Centre,GoK,1155161.00
,,17596.00,SHINYALU H/C,Health Centre,GoK,522741.00
,,16113.00,SHIKUSI DISP.,Dispensary,GoK,504094.00
,,15914.00,KAKAMEGA  FOREST DISP.,Dispensary,GoK,483772.00
,,16865.00,MUSEMBE DISP,Dispensary,GoK,339614.00
,,16717.00,IKUYWA ,Dispensary,GoK,407507.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,5761344.00
KAKAMEGA,MUMIAS & MATUNGU,15991.00,MAKUNGA RHDC,Health Centre,GOK,914251.00
,,15817.00,BUKAYA HC,Health Centre,GOK,1259200.00
,,15827.00,BUNGASI HC,Health Centre,GOK,900601.00
,,15977.00,LUSHEYA HC,Health Centre,GOK,830711.00
,,15873.00,ELWASAMBI  DISPENSARY,Dispensary,GOK,529760.00
,,15936.00,KHAUNGA  DISPENSARY,Dispensary,GOK,903462.00
,,17150.00,MALAHA  DISPENSARY,Dispensary,GOK,474504.00
,,16041.00,MUNG’ANG’A  DISPENSARY,Dispensary,GOK,1476094.00
,,17082.00,NYAPORO  DISPENSARY,Dispensary,GOK,355644.00
,,16035.00,MUMIAS  DISPENSARY,Dispensary,GOK,1646177.00
,,17217.00,ESHIKULU  DISPENSARY,Dispensary,GOK,548006.00
,,18361.00,Eluche dispensary,Dispensary,GOK,322246.00
,,16049.00,ACK Musanda dispensary,Dispensary,CHAK,145644.00
,,15931.00,Khalaba Health Centre,Health Centre ,GOK,518596.00
,,15972.00,Lunganyiro Health Centre,Health Centre ,GOK,601808.00
,,16042.00,Mungungu Dispensary,Dispensary,GOK,439043.00
,,16123.00,Shibanze Dispensary,Dispensary,GOK,514187.00
,,17929.00,Indangalasia Dispensary,Dispensary,GOK,420374.00
,,17931.00,Mirere Health Centre,Health Centre,GOK,496644.00
,,16070.00,Namulungu Dispensary,Dispensary,GOK,569255.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,13866205.00
kAKAMEGA,BUTERE & KHWISERO,16118.00,SHISABA H/C,Health Centre ,GOK,1046700.00
,,16121.00,SHITSWITSWI ,Health Centre,GOK,1040934.00
,,16114.00,SHIMUKOKO H/C,Health Centre,GOK,520861.00
,,16116.00,SHIRAHA H/C,Health Centre,GOK,446140.00
,,16111.00,SHIKUNGA H/C,Health Centre,GOK,678558.00
,,16715.00,MASABA DISPENSARY,Dispensary,CHAK,383074.00
,,17298.00,LUKOYE H/C,Health Centre,GOK,263435.00
,,17297.00,MABOLE H/C,Health Centre,GOK,453910.00
,,15940.00,KHWISERO H/C,Health Centre,GOK,1112923.00
,,16040.00,MUNDOLI H/C,Health Centre,CHAK,330022.00
,,16714.00,ELWANGALE H/C,Health Centre,GOK,460162.00
,,16115.00,ESHINUTSA H/C,Health Centre,GOK,365653.00
,,16065.00,NAMASOLI H/C,Health Centre,CHAK,255423.00
,,16033.00,MULWANDA DISP,Dispensary,GOK,575309.00
,,16055.00,EMUTSESA DISP,Dispensary,GOK,398552.00
,,16027.00,MUHAKA DISP,Dispensary,GOK,278367.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,8610024.00
KAKAMEGA,"LUGARI, MATETE AND LIKUYANI",15957.00,KOROMAITI H/C,Health Centre,KEC,126237.00
,,16051.00,MUSEMBE Dispensary,Dispensary,GoK,98429.00
,,15974.00,LUNYITO Dispensary,Dispensary,GoK,455825.00
,,16046.00,MUNYUKI Dispensary,Dispensary,GoK,258415.00
,,15988.00,MAJENGO Dispensary,Dispensary,GoK,449210.00
,,16000.00,MAPENGO Dispensary,Dispensary,GoK,203106.00
,,16031.00,MUKUYU Dispensary,Dispensary,GoK,281690.00
,,15964.00,LUGARI FOREST,Dispensary,GoK,274891.00
,,15851.00,CHEKALINI Centre,Health Centre,GoK,476221.00
,,16011.00,MBAGARA Dispensary,Dispensary,GoK,343002.00
,,16001.00,MARAKUSI Dispensary,Dispensary,GoK,420055.00
,,16005.00,MATETE HEALTH CENTRE,Health Centre,GOK,1198975.00
,,15970.00,LUMANI DISPENSARY,Dispensary,GOK,558909.00
,,15987.00,MAHANGA DISPENSARY,Dispensary,GOK,443820.00
,,16086.00,NZOIA MATETE DISPENSARY,Dispensary,GOK,382631.00
,,16009.00,MATURU DISPENSARY,Dispensary,GOK,753195.00
,,16077.00,TURBO NYS,Dispensary,GoK,73929.00
,,16102.00,SEREGEA Dispensary,Dispensary,GoK,419687.00
,,16154.00,TURBO FOREST DISPENSARY,Dispensary,GoK,265336.00
,,16100.00,SANGO Dispensary,Dispensary,GoK,477385.00
,,16127.00,SINOKO Dispensary,Dispensary,GoK,229076.00
,,16134.00,SOYSAMBU Dispensary,Dispensary,GoK,243286.00
,,15983.00,MABUSI H/C,Health Centre,GoK,807892.00
,,16084.00,Nzoia (ACK) Dispensary,Dispensary,CHAK,76563.00
,,15955.00,KONGONI H/C,Health Centre,GoK,800542.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,10118309.00
BUNGOMA,BUNGOMA NORTH & BUNGOMA KIMILILI,16079.00,NDALU H/C,Health Centre,GOK,1950627.00
,,16152.00,TONGAREN H/C,Health Centre,GOK,1557266.00
,,15927.00,KARIMA DISP,Dispensary,GOK,882374.00
,,15992.00,MAKUTANO DISP,Dispensary,GOK,969483.00
,,15918.00,ACK KAMUKUYWA,Dispensary,CHAK,419961.00
,,16135.00,ACK SOYSAMBU,Dispensary,CHAK,287981.00
,,15967.00,LUKHUNA DISP,Dispensary,GOK,265733.00
,,15989.00,MAKHANGA DISP,Dispensary,GOK,262778.00
,,15943.00,KIBISI DISP,Dispensary,GOK,382075.00
,,17986.00,SANGO DISP,Dispensary,GOK,229245.00
,,16092.00,PWANI DIP,Dispensary,GOK,198292.00
,,15937.00,LUNGAI DISP,Dispensary,GOK,99307.00
,,17990.00,SIRAKARU DISP,Dispensary,GOK,105487.00
,,15990.00,MAKHONGE HEALTH CENTRE,Health Centre,GOK,1730033.00
,,16076.00,NASUSI DISPENSARY,Dispensary,GOK,590094.00
,,15986.00,MAENI DISPENSARY,Dispensary,GOK,252191.00
,,17190.00,BAHAI DISPENSARY,Dispensary,GOK,325436.00
,,17193.00,BITUYU DISPENSAY,Dispensary,GOK,350800.00
,,15942.00,KIBINGEI DISPENSARY,Dispensary,GOK,293032.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,11152197.00
BUNGOMA,BUNGOMA SOUTH & BUMULA,15941.00,KIBABII HEALTH CENTRE,Health Centre ,GOK,350875.00
,,16014.00,MECHIMERU DISPENSARY,Dispensary,GOK,932096.00
,,15821.00,BULONDO DISPENSARY,Dispensary,GOK,1052335.00
,,15869.00,EKITALE DISPENSARY,Dispensary,GOK,807103.00
,,15819.00,BUKEMBE DISPENSARY,Dispensary,GOK,939911.00
,,16034.00,MUMBULE DISPENSARY,Dispensary,GOK,1335813.00
,,16020.00,MISSION OF MERCY DISPENSARY,Dispensary,KEC,124042.00
,,16489.00,MAYANJA DISPENSARY,Dispensary,GOK,664289.00
,,15825.00,Bumula H.C,Health Centre ,GOK,2112402.00
,,15947.00,Kimaeti Dispensary,Dispensary,GOK,1232073.00
,,15935.00,Khasoko H.C,Health Centre ,GOK,1995182.00
,,16124.00,Siboti Dispensary,Dispensary,GOK,984897.00
,,15912.00,Kabula Dispensary,Dispensary,GOK,1614289.00
,,16075.00,Nsianda Dispensary,Dispensary,GOK,861310.00
,,15984.00,Machwele Dispensary,Dispensary,GOK,525899.00
,,15890.00,GK PRISON DISP (BUNGOMA),Dispensary,GOK,165390.00
,,16019.00,Miluki Dispensary,Dispensary,GOK,858498.00
,,15944.00,Kibuke Dispensary,Dispensary,GOK,701915.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,17258319.00
BUNGOMA,BUNGOMA WEST & BUNGOMA CENTRAL,15994.00,Malakisi health centre,Health Centre ,GoK,908320.00
,,15958.00,Korosiandet dispensary,Dispensary,GoK,824124.00
,,15980.00,Lwandanyi dispensary,Dispensary,GoK,637901.00
,,15926.00,Kaptanai dispensary,Dispensary,GoK,575702.00
,,16148.00,Tamlega dispensary,Dispensary,GoK,798497.00
,,15861.00,Chwele friends dispensary,Dispensary,CHAK,178001.00
,,15837.00,ACK Butonge dispensary,Dispensary,CHAK,227067.00
,,15948.00,Kimalewa Health Centre,Health Centre ,GoK,796308.00
,,16125.00,Sikulu Dispensary,Dispensary,GoK,629518.00
,,15966.00,Lukhome Dispensary,Dispensary,GoK,528825.00
,,15911.00,Kabuchai Health Centre,Health Centre ,GoK,934748.00
,,16081.00,Ngalasia Dispensary,Dispensary,GoK,630693.00
,,15979.00,Lwanda Dispensary,Dispensary,GoK,572125.00
,,17116.00,Luuya Dispensary,Dispensary,GoK,503625.00
,,17117.00,Nalondo Model Health Centre,Health Centre ,GoK,512542.00
,,15929.00,Khachonge Dispensary,Dispensary,GoK,256271.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,9514266.00
BUNGOMA,BUNGOMA EAST,16018.00,MILO  H/C,Health Centre ,GOK,1168003.00
,,16160.00,WEBUYE H/C,Health Centre ,GOK,1812804.00
,,15976.00,LURARE DISP,Dispensary,GOK,745006.00
,,16015.00,MIENDO DISP,Dispensary,GOK,1017461.00
,,16028.00,MUKHE DISP,Dispensary,GOK,514821.00
,,15933.00,KHAOYA DISP,Dispensary,GOK,436374.00
,,16126.00,SINOKO  DISP,Dispensary,GOK,827617.00
,,16710.00,Kayaya Disp,Dispensary,GOK,163139.00
,,16711.00,Lukusi Disp,Dispensary,GOK,142578.00
,,18362.00,KHALALA DISP,Dispensary,GOK,102287.00
,,16016.00,MIHUU DISP,Dispensary,GOK,673796.00
,,16389.00,MATULO  DISP,Dispensary,GOK,521119.00
,,16388.00,MAHANGA DISP,Dispensary,GOK,214101.00
,,15932.00,KHALUMULI DISP,Dispensary,GOK,803776.00
,,16712.00,Ngwelo Mission Dispensary,Dispensary,KEC,237265.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,9380147.00
BUNGOMA,MOUNT ELGON & CHEPTAIS,15925.00,Kaptama Mission H/C,Health Centre ,CHAK,77785.00
,,15909.00,Kaboywo Disp,Dispensary,GOK,277446.00
,,15924.00,Kaptalelio Disp.,Dispensary,GOK,226538.00
,,15910.00,Kaborom Disp,Dispensary,GOK,379394.00
,,15917.00,Kamenjo Disp.,Dispensary,GOK,273738.00
,,15919.00,Kamuneru Disp.,Dispensary,GOK,515502.00
,,16099.00,Sacha Health Centre.,Health Centre ,GOK,207141.00
,,15856.00,Cheskaki disp.,Dispensary,GOK,903039.00
,,16153.00,Tuikut disp.,Dispensary,GOK,348545.00
,,15956.00,KOPSIRO Health Centre,Health Centre ,GOK,692985.00
,,15922.00,KAPKATENY DISP,Dispensary,GOK,302536.00
,,15920.00,KANG'ÄNGÄ DISP,Dispensary,GOK,319682.00
,,16487.00,RUANDA DISP,Dispensary,GOK,376680.00
,,15923.00,KAPSAMBU DISP,Dispensary,GOK,1813890.00
,,15854.00,CHEPKUBE DISP,Dispensary,GOK,646182.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,7361082.00
BUSIA,"BUSIA, BUTULA & NAMBALE",16004.00,Matayos Health Centre,Health Centre,GOK,1070903.00
,,16074.00,Nasewa Health Centre,Health Centre,GOK,545690.00
,,16043.00,Munongo Dispensary,Dispensary,GOK,648125.00
,,15835.00,Busibwabo Dispensary,Dispensary,GOK,643147.00
,,15891.00,G.K. Prisons Dispensary,Dispensary,GOK,937059.00
,,17156.00,Bukalama Dispensary,Dispensary,GOK,298069.00
,,15823.00,BUMALA “A” HEALTH CENTRE,Health Centre,GOK,577560.00
,,15824.00,BUMALA”B” HEALTH CENTRE,Health Centre,GOK,738706.00
,,15838.00,BUTULA MISSION HEALTH CENTR,Health Centre,CHAK,202921.00
,,15840.00,BWALIRO DISPENSARY,Dispensary,GOK,557801.00
,,15826.00,BUMUTIRU DISPENSARY,Dispensary,GOK,304946.00
,,15816.00,BUJUMBA DISPENSARY,Dispensary,CHAK,257988.00
,,15830.00,BURINDA DISPESARY,Dispensary,GOK,606197.00
,,17165.00,IKONZO DISPENSARY,Dispensary,GOK,144262.00
,,17158.00,BUKHALALIRE DISPENSARY,Dispensary,GOK,396758.00
,,17157.00,MASENDEBARE DISPENSARY,Dispensary,GOK,180699.00
,,16485.00,SIKARIRA DISPENSARY,Dispensary,GOK,599268.00
,,16486.00,MUSIBIRIRI DISPENSARY,Dispensary,GOK,409229.00
,,16066.00,NAMBALE H/C,Health Centre,GOK,1207569.00
,,15975.00,LUPIDA HEALTH CENTRE,Health Centre,GOK,651205.00
,,15985.00,MADENDE DISPENSARY,Dispensary,GOK,709248.00
,,15995.00,MALANGA DISPENSARY,Dispensary,GOK,689797.00
,,15937.00,KHAYO DISPENSARY,Dispensary,GOK,552515.00
,,15897.00,IGARA DISPENSARY,Dispensary,GOK,653206.00
,,17155.00,LWANYANGE DISPENSARY,Dispensary,GOK,247672.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,13830540.00
BUSIA,SAMIA,16068.00,Nambuku Dispensary,Dispensary,GOK,803156.00
,,16072.00,Nangina Dispensary,Dispensary,GOK,572865.00
,,15790.00,Agenga Dispensary,Dispensary,GOK,815119.00
,,15831.00,Busembe Dispensary,Dispensary,GOK,479723.00
,,15813.00,Buduta Dispensary,Dispensary,GOK,786322.00
,,16096.00,Rumbiye Dispensary,Dispensary,GOK,710099.00
,,16067.00,Namboboto Dispensary,Dispensary,CHAK,366757.00
,,16069.00,Namuduru Dispensary,Dispensary,GOK,202861.00
,,17149.00,Hakati dispensary,Dispensary,GOK,632339.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,5369240.00
BUSIA,BUNYALA,16029.00,Mukhobola Health Centre,Health Centre ,GoK,1448068.00
,,15811.00,Budalangi Dispensary,Dispensary,GoK,1201572.00
,,16095.00,Rukala Dispensary,Dispensary,GoK,1132485.00
,,16131.00,Sisenye Dispensary,Dispensary,GoK,1290599.00
,,16129.00,Sirimba Dispensary,Dispensary,KEC,394992.00
,,15822.00,Bulwani Dispensary,Dispensary,GoK,216527.00
,,17680.00,Osieko Dispensary,Dispensary,GoK,332532.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,6016774.00
BUSIA,TESO NORTH & TESO SOUTH,16021.00,MODING H/C,Health Centre,GOK,943804.00
,,15800.00,ANNGURAI H/C,Health Centre,GOK,1480177.00
,,15993.00,MALABA DISP,Dispensary,GOK,1079751.00
,,17242.00,KAMOLO DISP,Dispensary,GOK,862830.00
,,15792.00,AKICHELESIT DISP,Dispensary,GOK,1439027.00
,,16421.00,CHANGARA DISP,Dispensary,GOK,853904.00
,,15789.00,ABOLOI DISP,Dispensary,GOK,781765.00
,,15798.00,AMUKURA HEALTH CENTRE,Health Centre,GOK,771741.00
,,15802.00,APOKOR DISPENSARY,Dispensary,GOK,409993.00
,,16087.00,OBEKAI DISPENSARY,Dispensary,GOK,540951.00
,,16420.00,OCHUDE DISPENSARY,Dispensary,GOK,528638.00
,,15797.00,AMAASE DISPENSARY,Dispensary,GOK,411961.00
,,16024.00,MORU KORISA DISPENSARY,Dispensary,GOK,404134.00
,,15968.00,LUKOLIS DISPENSARY,Dispensary,GOK,1039974.00
,,17245.00,OKOOK DISPENSARY,Dispensary,GOK,475266.00
,,16140.00,St. Mary's Chelelemuk,Dispensary,KEC,54928.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,12078845.00
VIHIGA,VIHIGA & SABATIA,16012.00,Mbale RHTC,Health Centre,GoK,2292559.00
,,16158.00,Vihiga H/C,Health Centre,GoK,1059403.00
,,15879.00,Enzaro H/C,Health Centre,GoK,548400.00
,,15982.00,Lyanaginga H/C,Health Centre,GoK,632002.00
,,16032.00,Mulele Disp.,Dispensary,GoK,932082.00
,,15896.00,Iduku Disp.,Dispensary,GoK,458340.00
,,15814.00,Bugamangi Disp.,Dispensary,GoK,430518.00
,,16098.00,Sabatia H/C,Health Centre,GOK,1001411.00
,,15815.00,Bugina H/C,Health Centre,GOK,542800.00
,,15889.00,Givudimbuli H/C,Health Centre,GOK,401928.00
,,15928.00, Kegondi H/C,Health Centre,GOK,470174.00
,,15903.00,Inyali Disp,Dispensary,GOK,267335.00
,,16044.00,Munoywa Disp,Dispensary,GOK,580648.00
,,16060.00,Nadanya Disp,Dispensary,GOK,412226.00
,,15845.00,Chamakanga Disp,Dispensary,CHAK,76194.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,10106021.00
,EMUHAYA,15866.00,Ebusiratsi Health Centre,Health Centre,GOK,773814.00
,,15885.00,Esiarambatsi Health Centre,Health Centre,GOK,854661.00
,,15870.00,Ekwanda Health Centre,Health Centre,GOK,817189.00
,,15875.00,Ematsuli Dispensary ,Dispensary,GOK,792962.00
,,15963.00,Luanda Town Disp,Dispensary,GOK,521938.00
,,15887.00,Esitsaba Dispensary,Dispensary,GOK,296829.00
,,15904.00,Ipali Health Centre ,Health Centre,GOK,634699.00
,,16052.00,Musitinyi Dispensary ,Dispensary,GOK,453856.00
,,15878.00,Emusenjeli dispensary ,Dispensary,GOK,169793.00
,,16979.00,Emusire health Centre ,Health Centre,GOK,410482.00
,,15867.00,Ebusyubi Dispensary,Dispensary,GOK,303074.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,6029297.00
,HAMISI,16103.00,Serem H/C,Health Centre,GOK,914050.00
,,15805.00,Banja H/C,Health Centre,GOK,700037.00
,,16151.00,Tigoi H/C,Health Centre,GOK,625432.00
,,16117.00,Shiru H/C,Dispensary,GOK,773268.00
,,15960.00,Likindu Dispensary,Dispensary,GOK,582168.00
,,16457.00,Kaptis Dispensary,Dispensary,GOK,135225.00
,,16456.00,Kaptech Dispensary,Dispensary,GOK,602707.00
,,16453.00,Jepkoyai Dispensary,Dispensary,GOK,491580.00
,,16458.00,Kimogoi Dspensary,Dispensary,GOK,156889.00
,,17182.00,Givole Dispensary,Dispensary,GOK,100139.00
,,15921.00,Kapchemwani Dispensary,Dispensary,GOK,481217.00
,,15809.00,Boyani ADC dispensary,Dispensary,CHAK,401555.00
,DISTRICT DRAWING RIGHTS ALLOCATION,,,,,5964268.00
TOTAL PROVINCE DRAWING RIGHTS ALLOCATION,,,,,,178284535.00
